ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-159,STATE_11590000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-160,STATE_11600000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-161,STATE_11610000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-162,STATE_11620000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-163,STATE_11630000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-164,STATE_11640000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-165,STATE_11650000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-166,STATE_11660000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-167,STATE_11670000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-168,STATE_11680000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-169,STATE_11690000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-170,STATE_11700000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-171,STATE_11710000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-172,STATE_11720000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-173,STATE_11730000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-174,STATE_11740000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-175,STATE_11750000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-176,STATE_11760000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-177,STATE_11770000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-178,STATE_11780000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-179,STATE_11790000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-180,STATE_11800000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-181,STATE_11810000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-182,STATE_11820000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-183,STATE_11830000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-184,STATE_11840000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-185,STATE_11850000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-186,STATE_11860000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-187,STATE_11870000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-188,STATE_11880000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-189,STATE_11890000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-190,STATE_11900000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-191,STATE_11910000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-192,STATE_11920000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-193,STATE_11930000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-194,STATE_11940000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-195,STATE_11950000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-196,STATE_11960000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-197,STATE_11970000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-198,STATE_11980000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-199,STATE_11990000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-200,STATE_12000000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-201,STATE_12010000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-202,STATE_12020000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-203,STATE_12030000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-204,STATE_12040000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-205,STATE_12050000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-206,STATE_12060000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-207,STATE_12070000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-208,STATE_12080000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-209,STATE_12090000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-210,STATE_12100000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-211,STATE_12110000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-212,STATE_12120000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-213,STATE_12130000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-214,STATE_12140000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-215,STATE_12150000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-216,STATE_12160000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-217,STATE_12170000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-218,STATE_12180000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-219,STATE_12190000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-220,STATE_12200000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-221,STATE_12210000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-222,STATE_12220000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-223,STATE_12230000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-224,STATE_12240000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-225,STATE_12250000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-226,STATE_12260000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-227,STATE_12270000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-228,STATE_12280000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-229,STATE_12290000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-230,STATE_12300000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-231,STATE_12310000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-232,STATE_12320000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-233,STATE_12330000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-234,STATE_12340000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-235,STATE_12350000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-236,STATE_12360000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-237,STATE_12370000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-238,STATE_12380000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-239,STATE_12390000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-240,STATE_12400000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-241,STATE_12410000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-242,STATE_12420000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-243,STATE_12430000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-244,STATE_12440000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-245,STATE_12450000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-246,STATE_12460000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-247,STATE_12470000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-248,STATE_12480000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-249,STATE_12490000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-250,STATE_12500000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-251,STATE_12510000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-252,STATE_12520000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-253,STATE_12530000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-254,STATE_12540000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-255,STATE_12550000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-256,STATE_12560000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-257,STATE_12570000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-258,STATE_12580000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-259,STATE_12590000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-260,STATE_12600000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-261,STATE_12610000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-262,STATE_12620000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-263,STATE_12630000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-264,STATE_12640000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-265,STATE_12650000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-266,STATE_12660000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-267,STATE_12670000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-268,STATE_12680000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-269,STATE_12690000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-270,STATE_12700000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-271,STATE_12710000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-272,STATE_12720000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-273,STATE_12730000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-274,STATE_12740000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-275,STATE_12750000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-276,STATE_12760000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-277,STATE_12770000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-278,STATE_12780000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-279,STATE_12790000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-280,STATE_12800000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-281,STATE_12810000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-282,STATE_12820000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-283,STATE_12830000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-284,STATE_12840000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-285,STATE_12850000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-286,STATE_12860000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-287,STATE_12870000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-288,STATE_12880000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-289,STATE_12890000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-290,STATE_12900000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-291,STATE_12910000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-292,STATE_12920000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-293,STATE_12930000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-294,STATE_12940000,posterior.trees,true,sample,bayesian,years,Lee_2013
